country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Extra,Romania,Liga 1,2012/2013,20/07/2012,16:30,Pandurii,U. Cluj,6,2,H,1.51,4.24,7.59,1.55,4.25,7.59,1.47,3.85,6.43
Extra,Romania,Liga 1,2012/2013,20/07/2012,18:20,CS Turnu Severin,Din. Bucuresti,1,2,A,999,999,999,5.75,3.55,1.86,4.45,3.37,1.73
Extra,Romania,Liga 1,2012/2013,21/07/2012,17:00,Petrolul,Ceahlaul,5,0,H,1.44,4.47,9.03,1.5,4.47,9.03,1.43,3.99,6.83
Extra,Romania,Liga 1,2012/2013,21/07/2012,19:30,CFR Cluj,Gaz Metan Medias,1,1,D,1.57,4.08,6.63,1.57,4.33,7.5,1.5,3.86,5.83
Extra,Romania,Liga 1,2012/2013,22/07/2012,17:00,Bistrita,Astra,1,2,A,2.54,3.23,3,2.6,3.25,3,2.41,3.05,2.78
Extra,Romania,Liga 1,2012/2013,22/07/2012,17:00,Poli Iasi,Otelul,1,2,A,3.77,3.31,2.14,4.2,3.31,2.18,3.59,3.11,2
Extra,Romania,Liga 1,2012/2013,22/07/2012,19:30,FC Rapid Bucuresti,Vaslui,2,2,D,2.36,3.15,3.49,2.36,3.25,3.49,2.23,3.1,3.04
Extra,Romania,Liga 1,2012/2013,23/07/2012,17:00,Viitorul Constanta,FC Brasov,2,2,D,3.23,3.2,2.43,3.23,3.26,2.5,2.93,3.08,2.33
Extra,Romania,Liga 1,2012/2013,23/07/2012,19:30,FC Steaua Bucuresti,Concordia,1,0,H,1.31,5.29,11.98,1.36,5.3,15.4,1.3,4.81,9.01
Extra,Romania,Liga 1,2012/2013,27/07/2012,17:00,FC Brasov,CS Turnu Severin,2,1,H,1.68,3.81,5.73,1.71,3.81,6.25,1.66,3.39,4.95
Extra,Romania,Liga 1,2012/2013,27/07/2012,19:30,Ceahlaul,CFR Cluj,2,2,D,5.21,3.61,1.78,5.25,3.75,1.8,4.68,3.45,1.69
Extra,Romania,Liga 1,2012/2013,28/07/2012,17:00,Gaz Metan Medias,Pandurii,0,2,A,2.58,3.33,2.93,2.62,3.33,3.25,2.37,3.1,2.81
Extra,Romania,Liga 1,2012/2013,28/07/2012,19:15,Astra,FC Steaua Bucuresti,3,4,A,3.85,3.17,2.19,4.5,3.3,2.27,3.66,3.12,2.01
Extra,Romania,Liga 1,2012/2013,28/07/2012,19:30,Vaslui,Petrolul,3,0,H,2,3.43,4.19,2.1,3.5,4.19,1.99,3.23,3.53
Extra,Romania,Liga 1,2012/2013,29/07/2012,17:00,U. Cluj,Bistrita,1,0,H,2.52,3.41,2.93,2.52,3.41,3.05,2.4,3.14,2.74
Extra,Romania,Liga 1,2012/2013,29/07/2012,19:30,Din. Bucuresti,Poli Iasi,5,2,H,1.34,5.03,11.4,1.4,5.23,11.8,1.33,4.46,8.58
Extra,Romania,Liga 1,2012/2013,30/07/2012,16:30,Concordia,Viitorul Constanta,1,1,D,2.54,3.28,3.02,2.54,3.34,3.08,2.41,3.07,2.81
Extra,Romania,Liga 1,2012/2013,30/07/2012,18:20,Otelul,FC Rapid Bucuresti,1,1,D,2.77,3.13,2.85,2.89,3.2,2.85,2.63,3.02,2.61
Extra,Romania,Liga 1,2012/2013,03/08/2012,17:00,Bistrita,Gaz Metan Medias,1,1,D,2.78,3.22,2.78,3,3.22,2.78,2.67,3.04,2.54
Extra,Romania,Liga 1,2012/2013,03/08/2012,19:30,Pandurii,Ceahlaul,3,1,H,1.5,4.15,8.1,1.5,4.91,10.06,1.4,4.06,7.35
Extra,Romania,Liga 1,2012/2013,04/08/2012,17:00,CS Turnu Severin,Concordia,0,1,A,2.29,3.3,3.41,2.4,3.3,3.41,2.3,3.13,2.9
Extra,Romania,Liga 1,2012/2013,04/08/2012,19:30,Petrolul,Otelul,2,1,H,1.77,3.65,5.25,1.85,3.75,5.25,1.75,3.4,4.32
Extra,Romania,Liga 1,2012/2013,04/08/2012,19:45,CFR Cluj,Vaslui,3,0,H,2.44,3.17,3.28,2.45,3.25,3.4,2.36,3.09,2.86
Extra,Romania,Liga 1,2012/2013,05/08/2012,17:00,Viitorul Constanta,Astra,0,0,D,2.76,3.27,2.76,2.78,3.27,2.9,2.51,3.08,2.68
Extra,Romania,Liga 1,2012/2013,05/08/2012,19:30,FC Steaua Bucuresti,U. Cluj,5,1,H,1.24,6,16.25,1.3,6.04,16.25,1.23,5.25,10.96
Extra,Romania,Liga 1,2012/2013,06/08/2012,17:00,FC Rapid Bucuresti,Poli Iasi,1,0,H,999,999,999,1.33,5.57,12,1.29,4.8,8.73
Extra,Romania,Liga 1,2012/2013,06/08/2012,19:30,FC Brasov,Din. Bucuresti,2,2,D,2.93,3.27,2.6,3,3.27,2.67,2.8,3.11,2.41
Extra,Romania,Liga 1,2012/2013,10/08/2012,17:00,Astra,CS Turnu Severin,1,1,D,1.73,3.74,5.53,1.73,3.88,6.5,1.61,3.54,5.21
Extra,Romania,Liga 1,2012/2013,10/08/2012,19:30,Poli Iasi,Petrolul,2,2,D,4.61,3.71,1.85,4.65,3.71,1.85,4.08,3.42,1.79
Extra,Romania,Liga 1,2012/2013,12/08/2012,17:00,U. Cluj,Viitorul Constanta,2,1,H,2.84,3.3,2.67,2.84,3.3,2.76,2.53,3.13,2.6
Extra,Romania,Liga 1,2012/2013,12/08/2012,17:30,Vaslui,Pandurii,0,0,D,1.95,3.52,4.26,1.96,3.52,4.5,1.81,3.36,4.03
Extra,Romania,Liga 1,2012/2013,12/08/2012,19:30,Gaz Metan Medias,FC Steaua Bucuresti,1,1,D,3.87,3.28,2.15,4,3.28,2.2,3.45,3.16,2.04
Extra,Romania,Liga 1,2012/2013,13/08/2012,17:00,Ceahlaul,Bistrita,2,0,H,1.76,3.7,5.19,1.76,3.7,5.5,1.64,3.5,4.91
Extra,Romania,Liga 1,2012/2013,13/08/2012,17:00,Otelul,CFR Cluj,1,2,A,2.8,3.23,2.75,2.95,3.23,2.83,2.72,3.08,2.46
Extra,Romania,Liga 1,2012/2013,13/08/2012,19:30,Concordia,FC Brasov,2,1,H,2.85,3.13,2.77,2.88,3.2,2.77,2.68,3.06,2.51
Extra,Romania,Liga 1,2012/2013,17/08/2012,17:00,CS Turnu Severin,U. Cluj,1,1,D,2.11,3.42,3.79,2.15,3.42,4,2.07,3.19,3.33
Extra,Romania,Liga 1,2012/2013,17/08/2012,18:30,CFR Cluj,Poli Iasi,2,2,D,1.28,5.66,14.05,1.28,6.23,16.75,1.24,5.15,10.86
Extra,Romania,Liga 1,2012/2013,17/08/2012,19:30,Concordia,Din. Bucuresti,0,0,D,3.58,3.49,2.16,4.75,3.49,2.16,3.88,3.28,1.86
